label,message,prediction,correct
ham,10 min later k...,spam,False
spam,ringtoneking 84484,ham,False
spam,Sorry I missed your call let's talk when you have the time. I'm on 07090201529,ham,False
spam,"Latest News! Police station toilet stolen, cops have nothing to go on!",ham,False
ham,Ok... Ur typical reply...,spam,False
spam,Can U get 2 phone NOW? I wanna chat 2 set up meet Call me NOW on 09096102316 U can cum here 2moro Luv JANE xx Callså£1/minmoremobsEMSPOBox45PO139WA,ham,False
spam,More people are dogging in your area now. Call 09090204448 and join like minded guys. Why not arrange 1 yourself. There's 1 this evening. Aå£1.50 minAPN LS278BB,ham,False
spam,For sale - arsenal dartboard. Good condition but no doubles or trebles!,ham,False
spam,Email AlertFrom: Jeri StewartSize: 2KBSubject: Low-cost prescripiton drvgsTo listen to email call 123,ham,False
spam,1000's of girls many local 2 u who r virgins 2 this & r ready 2 4fil ur every sexual need. Can u 4fil theirs? text CUTE to 69911(å£1.50p. m),ham,False
spam,XCLUSIVE@CLUBSAISAI 2MOROW 28/5 SOIREE SPECIALE ZOUK WITH NICHOLS FROM PARIS.FREE ROSES 2 ALL LADIES !!! info: 07946746291/07880867867 ,ham,False
spam,"Download as many ringtones as u like no restrictions, 1000s 2 choose. U can even send 2 yr buddys. Txt Sir to 80082 å£3 ",ham,False
spam,ROMCAPspam Everyone around should be responding well to your presence since you are so warm and outgoing. You are bringing in a real breath of sunshine.,ham,False
spam,"Do you realize that in about 40 years, we'll have thousands of old ladies running around with tattoos?",ham,False
ham,On the road so cant txt,spam,False
ham,These won't do. Have to move on to morphine,spam,False
spam,RCT' THNQ Adrian for U text. Rgds Vatian,ham,False
ham,Nokia phone is lovly..,spam,False
spam,"Hi ya babe x u 4goten bout me?' scammers getting smart..Though this is a regular vodafone no, if you respond you get further prem rate msg/subscription. Other nos used also. Beware!",ham,False
